Country code,Service type,Service label,Layer id,Layer name,Min lat,Max lat,Min lon,Max lon
#country +code,#service +type,#service +label,#meta +id,#geo +admin_type,#geo +lat +max,#geo +lat +min,#geo +lon +max,#geo +lon +min
CIV,FeatureServer,pcode,0,Admin0,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,FeatureServer,pcode,1,Admin1,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,FeatureServer,pcode,2,Admin2,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,FeatureServer,pcode,3,Admin3,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,FeatureServer,pcode,4,AdminLines,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,pcode,0,Admin0,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,pcode,1,Admin1,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,pcode,2,Admin2,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,pcode,3,Admin3,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CIV,MapServer,pcode,4,AdminLines,4.360553222000021,10.745650689000058,-8.584146518999944,-2.4923088679999523
CMR,MapServer,EN,0,Admin0,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,EN,1,Admin1,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,EN,2,Admin2 Lines,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,EN,3,Admin2,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,EN,4,Admin3 Lines,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,EN,5,Admin3,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,EN,6,Base Map,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
CMR,MapServer,FR,0,Admin0,1.6546659000000545,13.083333000000039,8.49895280000004,16.192147600000055
